uuid,identifier,Date,Type,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,HeightMax,DiameterMax,DiameterMin,Condition,MostRecentDamageWithin,geospatialcolumn
1.00E+18,8300,10-Sep,Extinct Burial Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.40069278,26.13347198,4694629.883,428687.9326,0.5,15,11,5 - extinct or near extinct,Unknown,POINT(428687.932566 4694629.882916)
1.00E+18,9513,10-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39465764,26.13481875,4693958.626,428791.9442,2,28,21,3 - damaged,Last month,POINT(428791.944199 4693958.625652)
1.00E+18,8301,10-Sep,Burial Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.39780368,26.13289378,4694309.569,428637.0748,2.3,17,12,2 - minor damage,Unknown,POINT(428637.074831 4694309.569396)
1.00E+18,8103,10-Sep,Extinct Burial Mound,Scrub,Scrub,Valley Bottom or Plain,42.40592688,26.13992744,4695205.669,429225.0808,0,0,0,5 - extinct or near extinct,Unknown,POINT(429225.080824 4695205.66904)
1.00E+18,8104,10-Sep,Uncertain Mound,Scrub,Scrub,Valley Bottom or Plain,42.40836932,26.1390629,4695477.592,429156.6863,0,0,0,5 - extinct or near extinct,Unknown,POINT(429156.686299 4695477.592247)
1.00E+18,8302,10-Sep,Burial Mound,Scrub (the scrub comprises an old vineyard gone wild),Scrub,Valley Bottom or Plain,42.39705737,26.12892326,4694230.044,428309.4487,1.5,15,,0 - No observation,Unknown,POINT(428309.448665 4694230.044063)
1.00E+18,8105,10-Sep,Uncertain Mound,Forest,Forest,Hilltop,42.40992288,26.14072092,4695648.715,429294.8643,3,15,10,1 - pristine,,POINT(429294.864313 4695648.715018)
1.00E+18,9514,10-Sep,Uncertain Mound,Scrub,Scrub,Hilltop,42.39738531,26.1432916,4694254.434,429492.3539,1.5,11,8,4 - seriously damaged,Unknown,POINT(429492.353923 4694254.433648)
1.00E+18,8303,10-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard) (walnut trees),Pasture (grassland) (scrubby),Valley Bottom or Plain,42.39523427,26.11879323,4694036.207,427473.631,2.7,22,,1 - pristine,Last year,POINT(427473.630951 4694036.20688)
1.00E+18,9515,11-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.4007734,26.22150291,4694568.702,435932.6798,1.6,40,42,3 - damaged,Last month,POINT(435932.679835 4694568.701546)
1.00E+18,8304,11-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40607583,26.24816852,4695137.707,438132.3789,1.4,13,12,3 - damaged,Last month,POINT(438132.378925 4695137.707434)
1.00E+18,8106,11-Sep,Burial Mound,Annual agriculture,Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,42.40970772,26.24783206,4695541.229,438108.2628,1.5,55,50,3 - damaged,Last year,POINT(438108.262782 4695541.229061)
1.00E+18,8305,11-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.40297633,26.24696348,4694794.425,438030.1664,0.7,22,16,3 - damaged,Last month,POINT(438030.166351 4694794.424591)
1.00E+18,9516,11-Sep,Uncertain Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.40493326,26.2302587,4695024.037,436657.437,1,14,8,3 - damaged,Unknown,POINT(436657.437045 4695024.03736)
1.00E+18,8306,11-Sep,Burial Mound,Annual agriculture,Scrub,Hilltop,42.40246734,26.24735842,4694737.62,438062.1668,1,22,7,4 - seriously damaged,Last year,POINT(438062.166823 4694737.619986)
1.00E+18,8107,11-Sep,Burial Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.3880455,26.189618,4693179.962,433295.1802,0.3,20,11,4 - seriously damaged,Unknown,POINT(433295.180156 4693179.961652)
1.00E+18,9517,11-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.40478628,26.22903625,4695008.629,436556.692,1,25,20,4 - seriously damaged,Unknown,POINT(436556.69197 4695008.62912)
1.00E+18,8108,11-Sep,Extinct Burial Mound,Scrub,Scrub,Hilltop,42.38970276,26.18663453,4693366.326,433051.3626,0,0,0,5 - extinct or near extinct,Unknown,POINT(433051.362551 4693366.325957)
1.00E+18,9518,11-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.4084193,26.230018,4695411.298,436641.1374,0.9,35,30,3 - damaged,Last month,POINT(436641.137432 4695411.297874)
1.00E+18,8109,11-Sep,Extinct Burial Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.38807485,26.18645587,4693185.708,433034.9264,0.2,20,12,5 - extinct or near extinct,Unknown,POINT(433034.926359 4693185.707691)
1.00E+18,8307,11-Sep,Extinct Burial Mound,Other (explain in notes) (freshly bulldozer field with ripped vineyard and brush),Other (explain in notes) (see LU note above),Hilltop,42.39077351,26.24532337,4693440.652,437883.1614,0.5,35,30,5 - extinct or near extinct,Last week,POINT(437883.161412 4693440.652453)
1.00E+18,8308,11-Sep,Uncertain Mound,Other (explain in notes),Other (explain in notes),Hilltop,42.38964751,26.24537336,4693315.587,437886.1659,0.5,15,12,5 - extinct or near extinct,Last week,POINT(437886.165909 4693315.587227)
1.00E+18,9519,11-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Lower slope,42.40888436,26.21493816,4695474.294,435400.7453,1.8,28,25,4 - seriously damaged,Last year,POINT(435400.745273 4695474.294473)
1.00E+18,8309,11-Sep,Burial Mound,Annual agriculture,Scrub,Upper slope,42.3918815,26.24171041,4693566.327,437586.8775,1,18,10,5 - extinct or near extinct,Last month,POINT(437586.877467 4693566.327236)
1.00E+18,8110,11-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39869179,26.18602103,4694364.93,433010.4254,1.8,35,40,3 - damaged,Last year,POINT(433010.425364 4694364.929879)
1.00E+18,8310,11-Sep,Uncertain Mound,Annual agriculture,Scrub,Upper slope,42.39356388,26.24149945,4693753.29,437571.1809,1,25,25,4 - seriously damaged,Unknown,POINT(437571.180948 4693753.289884)
1.00E+18,9520,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Lower slope,42.41040418,26.2112497,4695645.864,435098.8035,0.5,15,12,4 - seriously damaged,Unknown,POINT(435098.803502 4695645.863672)
1.00E+18,8111,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.40267242,26.18076711,4694811.085,432582.2927,2.3,25,22,2 - minor damage,Last year,POINT(432582.292662 4694811.085396)
1.00E+18,8311,11-Sep,Uncertain Mound,Annual agriculture,Scrub (half bare half scrub),Lower slope,42.39214205,26.24058881,4693596.083,437494.8197,0.3,20,19,5 - extinct or near extinct,Last month,POINT(437494.819655 4693596.082714)
1.00E+18,9521,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Lower slope,42.41069685,26.2110756,4695678.494,435084.7798,1.4,18,16,4 - seriously damaged,Unknown,POINT(435084.779831 4695678.494282)
1.00E+18,8312,11-Sep,Uncertain Mound,Annual agriculture,Scrub,Lower slope,42.39158994,26.24082293,4693534.606,437513.5419,0.4,10,8,5 - extinct or near extinct,Last year,POINT(437513.541942 4693534.60572)
1.00E+18,8313,11-Sep,Uncertain Mound,Annual agriculture,Scrub,Upper slope,42.39152978,26.23966217,4693528.78,437417.9416,1.2,16,13,5 - extinct or near extinct,Last year,POINT(437417.941564 4693528.779987)
1.00E+18,8112,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.40382819,26.1736336,4694945.105,431996.4942,1.5,25,25,2 - minor damage,Unknown,POINT(431996.494205 4694945.104665)
1.00E+18,8314,11-Sep,Uncertain Mound,Annual agriculture,Scrub,Upper slope,42.38998881,26.24176533,4693356.128,437589.5226,0.5,22,15,5 - extinct or near extinct,Last year,POINT(437589.522608 4693356.128156)
1.00E+18,9522,11-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.41744756,26.21936852,4696421.774,435774.0404,1.9,55,50,4 - seriously damaged,Last year,POINT(435774.040392 4696421.774044)
1.00E+18,8113,11-Sep,Burial Mound,Scrub,Scrub,Upper slope,42.40553013,26.16717167,4695139.276,431466.5773,1,30,30,1 - pristine,,POINT(431466.577335 4695139.276288)
1.00E+18,8315,11-Sep,Uncertain Mound,Annual agriculture,Scrub,Upper slope,42.38860099,26.24272769,4693201.322,437667.3619,0.5,25,19,5 - extinct or near extinct,Unknown,POINT(437667.361852 4693201.321567)
1.00E+18,9523,11-Sep,Burial Mound,Pasture (grassland),Scrub,Lower slope,42.4173977,26.21233709,4696421.579,435195.4792,3,33,30,2 - minor damage,Unknown,POINT(435195.479193 4696421.578571)
1.00E+18,8114,11-Sep,Burial Mound,Scrub,Scrub,Upper slope,42.40019299,26.16557283,4694547.944,431329.1872,1,40,25,4 - seriously damaged,Unknown,POINT(431329.187231 4694547.944031)
1.00E+18,8316,11-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Scrub,Hilltop,42.38190125,26.2361991,4692462.21,437123.2924,2.3,25,20,2 - minor damage,Last year,POINT(437123.292374 4692462.209706)
1.00E+18,8115,11-Sep,Burial Mound,Scrub,Pasture (grassland),Hilltop,42.39287284,26.17088944,4693730.848,431758.8,2,30,10,2 - minor damage,Unknown,POINT(431758.799984 4693730.84777)
1.00E+18,8317,11-Sep,Burial Mound,Scrub,Scrub,Hilltop,42.38461094,26.23205275,4692766.162,436784.6774,3,36,,4 - seriously damaged,Last year?,POINT(436784.677382 4692766.1624)
1.00E+18,9524,11-Sep,Burial Mound,Scrub,Scrub,Hilltop,42.4160662,26.20075039,4696282.637,434240.793,1.8,25,28,4 - seriously damaged,Unknown,POINT(434240.792966 4696282.636754)
1.00E+18,8116,11-Sep,Uncertain Mound,Scrub,Scrub,Valley Bottom or Plain,42.39443578,26.18393613,4693893.998,432834.3009,0.2,40,40,5 - extinct or near extinct,Unknown,POINT(432834.300868 4693893.998453)
1.00E+18,9525,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.41636743,26.20036959,4696316.38,434209.7776,2,35,30,4 - seriously damaged,Unknown,POINT(434209.777574 4696316.380403)
1.00E+18,9526,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.41651885,26.20014047,4696333.371,434191.0848,2.3,40,35,1 - pristine,,POINT(434191.084759 4696333.371021)
1.00E+18,8318,11-Sep,Uncertain Mound,Scrub,Other (explain in notes) (burnt terrain),Upper slope,42.38810909,26.23329013,4693153.668,436890.04,0.5,10,8,5 - extinct or near extinct,Last month,POINT(436890.040001 4693153.667807)
1.00E+18,9527,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.41083284,26.19750504,4695704.053,433968.2863,1.2,30,25,4 - seriously damaged,Unknown,POINT(433968.286287 4695704.053471)
1.00E+18,8319,11-Sep,Burial Mound,Scrub,Scrub (burnt svrub),Hilltop,42.3903067,26.2310608,4693399.343,436708.7449,1.7,16,11,4 - seriously damaged,Last month,POINT(436708.744921 4693399.342854)
1.00E+18,9528,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.4074671,26.19737823,4695330.427,433954.3209,1.9,40,35,2 - minor damage,,POINT(433954.320908 4695330.427175)
1.00E+18,9529,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.40738666,26.19842975,4695320.679,434040.7641,1.9,30,25,4 - seriously damaged,Unknown,POINT(434040.764137 4695320.678546)
1.00E+18,8320,11-Sep,Uncertain Mound,Scrub,Scrub,Upper slope,42.39246405,26.22891575,4693640.489,436534.3588,0.4,16,9,5 - extinct or near extinct,Unknown,POINT(436534.358758 4693640.489136)
1.00E+18,9530,11-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Lower slope,42.40517653,26.19912201,4695074.734,434095.4153,4,42,40,4 - seriously damaged,Unknown,POINT(434095.415317 4695074.73384)
1.00E+18,8321,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.39266992,26.22735759,4693664.513,436406.3181,2.2,23,20,2 - minor damage,Unknown,POINT(436406.318106 4693664.51276)
1.00E+18,8117,11-Sep,Extinct Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.38115279,26.19148582,4692413.15,433441.6458,0,15,5,5 - extinct or near extinct,Last year,POINT(433441.645844 4692413.149706)
1.00E+18,8322,11-Sep,Uncertain Mound,Annual agriculture (burnt field),Other (explain in notes),Upper slope,42.3931325,26.2281194,4693715.307,436469.4872,0.4,9,6,5 - extinct or near extinct,Unknown,POINT(436469.487225 4693715.307324)
1.00E+18,9531,11-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Lower slope,42.40184794,26.20550889,4694700.2,434617.5412,0.8,19,16,3 - damaged,Unknown,POINT(434617.541209 4694700.199836)
1.00E+18,8323,11-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.38434712,26.21724582,4692747.988,435565.5353,1.4,30,25,5 - extinct or near extinct,Last month,POINT(435565.535277 4692747.987748)
1.00E+18,8324,11-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.3834157,26.2063386,4692652.892,434666.707,0.8,25,20,5 - extinct or near extinct,Last month,POINT(434666.70699 4692652.89246)
1.00E+18,8325,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34737355,26.24045714,4688625.222,437439.5703,1.5,28,25,3 - damaged,Last month,POINT(437439.5703 4688625.221531)
1.00E+18,8326,12-Sep,Surface Scatter,Annual agriculture,Scrub,Valley Bottom or Plain,42.34843876,26.24314564,4688741.525,437662.0644,0.5,150,,5 - extinct or near extinct,Last week,POINT(437662.064361 4688741.52453)
1.00E+18,8327,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Upper slope,42.3509414,26.24334465,4689019.264,437680.9284,0.5,20,,5 - extinct or near extinct,Last month,POINT(437680.928412 4689019.263507)
1.00E+18,9532,12-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.32282514,26.11139548,4686002.449,426780.7429,2.2,30,30,4 - seriously damaged,Unknown,POINT(426780.742888 4686002.449002)
1.00E+18,8328,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35154452,26.24339821,4689086.193,437685.9356,1,25,,4 - seriously damaged,Last month,POINT(437685.935571 4689086.193076)
1.00E+18,8329,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop (ridge),42.35110421,26.24202788,4689038.308,437572.6382,0.5,25,20,5 - extinct or near extinct,Last month,POINT(437572.638191 4689038.30783)
1.00E+18,8330,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3505258,26.24300312,4688973.368,437652.3884,0.8,23,,4 - seriously damaged,Last month,POINT(437652.38841 4688973.36752)
1.00E+18,9533,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.31794629,26.12067399,4685452.777,427539.682,1.6,25,20,2 - minor damage,Last month,POINT(427539.682021 4685452.777474)
1.00E+18,8118,12-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.36588961,26.03702863,4690850.872,420707.1478,3.5,50,50,1 - pristine,,POINT(420707.147815 4690850.871628)
1.00E+18,8331,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.35195569,26.2465852,4689129.518,437948.8229,0.8,20,18,4 - seriously damaged,Last month,POINT(437948.822875 4689129.517838)
1.00E+18,9534,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.32686093,26.13019391,4686434.564,428334.289,1.5,22,18,3 - damaged,Last month,POINT(428334.289033 4686434.564257)
1.00E+18,8119,12-Sep,Burial Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.37154599,26.04062205,4691475.597,421010.1274,3,50,45,2 - minor damage,Last year,POINT(421010.127408 4691475.596817)
1.00E+18,8332,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.35225474,26.24632243,4689162.914,437927.4752,0.6,15,,5 - extinct or near extinct,Last week,POINT(437927.475184 4689162.914175)
1.00E+18,9535,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.32882515,26.13239884,4686650.809,428518.185,1.8,24,22,3 - damaged,Last month,POINT(428518.184967 4686650.808579)
1.00E+18,8333,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.35242033,26.24658871,4689181.107,437949.5695,0.1,10,,5 - extinct or near extinct,Last month,POINT(437949.569485 4689181.106911)
1.00E+18,8334,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.35250304,26.2467932,4689190.142,437966.4922,0,7,4,5 - extinct or near extinct,Last month,POINT(437966.492166 4689190.141628)
1.00E+18,8335,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35395734,26.24782365,4689350.871,438052.7881,2.4,40,,3 - damaged,Last month,POINT(438052.788138 4689350.871277)
1.00E+18,8336,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35426709,26.24856177,4689384.727,438113.8816,0.8,20,18,4 - seriously damaged,Last month,POINT(438113.881561 4689384.727218)
1.00E+18,9536,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.33956508,26.12606772,4687848.672,428008.8098,0.6,19,14,4 - seriously damaged,Last month,POINT(428008.809841 4687848.672473)
1.00E+18,8337,12-Sep,Uncertain Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3546495,26.2485118,4689427.225,438110.1415,0.7,40,,5 - extinct or near extinct,Last month,POINT(438110.141494 4689427.224743)
1.00E+18,8120,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35834032,26.04243799,4690007.587,421143.1279,1.5,55,50,3 - damaged,Last year,POINT(421143.127863 4690007.587359)
1.00E+18,9537,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34460905,26.12459546,4688409.986,427893.294,0.5,17,15,4 - seriously damaged,Last month,POINT(427893.294031 4688409.985932)
1.00E+18,8121,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35676104,26.0386903,4689835.711,420832.5138,0.5,55,50,5 - extinct or near extinct,Last year,POINT(420832.513827 4689835.710935)
1.00E+18,8338,12-Sep,Uncertain Mound,Scrub,Scrub,Upper slope,42.35834192,26.24516733,4689839.659,437838.3412,6,35,,4 - seriously damaged,Unknown,POINT(437838.341157 4689839.659053)
1.00E+18,9538,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34895439,26.11542731,4688900.292,427143.1299,1.5,15,15,4 - seriously damaged,Last month,POINT(427143.129863 4688900.291796)
1.00E+18,8339,12-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.3591658,26.23935819,4689935.402,437360.7653,1.5,26,20,1 - pristine,Unknown,POINT(437360.765325 4689935.402264)
1.00E+18,8122,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.36047095,26.06335535,4690224.98,422868.329,0.5,50,40,5 - extinct or near extinct,Last year,POINT(422868.329036 4690224.979931)
1.00E+18,8340,12-Sep,Burial Mound,Scrub,"Other (explain in notes) (bare surface,looks replied post excavation)",Hilltop,42.36306858,26.24329763,4690365.86,437689.0379,7,50,,2 - minor damage,Last year,POINT(437689.037877 4690365.859771)
1.00E+18,9539,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34187062,26.11353273,4688115.357,426978.8854,1,20,,4 - seriously damaged,Last month,POINT(426978.8854 4688115.357301)
1.00E+18,8123,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34701893,26.07586167,4688720.038,423881.9876,0.4,30,30,5 - extinct or near extinct,Last year,POINT(423881.987629 4688720.037756)
1.00E+18,9540,12-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34200415,26.11423939,4688129.578,427037.2505,1,18,,5 - extinct or near extinct,Last month,POINT(427037.250454 4688129.577576)
1.00E+18,8124,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34689193,26.08019646,4688702.065,424238.8794,0.5,50,50,5 - extinct or near extinct,Last year,POINT(424238.879405 4688702.065053)
1.00E+18,8125,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37668833,26.09962666,4691993.448,425874.327,0,0,0,5 - extinct or near extinct,Last year,POINT(425874.326972 4691993.447893)
1.00E+18,9541,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.33856343,26.11818536,4687744.154,427358.3336,0.1,10,,5 - extinct or near extinct,Last month,POINT(427358.333552 4687744.153859)
1.00E+18,8341,12-Sep,Burial Mound,Scrub,Scrub,Hilltop,42.36853972,26.24102697,4690975.025,437507.4821,1.75,15,,2 - minor damage,Last month,POINT(437507.482066 4690975.025305)
1.00E+18,8126,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37543169,26.09945629,4691854.062,425858.8225,0,0,0,5 - extinct or near extinct,Last year,POINT(425858.822492 4691854.062061)
1.00E+18,8342,12-Sep,Burial Mound,Scrub,Scrub,Hilltop,42.3683457,26.24090384,4690953.572,437497.1513,1.5,10,,3 - damaged,Unknown,POINT(437497.151279 4690953.57205)
1.00E+18,8127,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37761432,26.09912737,4692096.703,425834.311,0,30,20,5 - extinct or near extinct,Last year,POINT(425834.310989 4692096.702784)
1.00E+18,8343,12-Sep,Uncertain Feature,Scrub,Scrub,Hilltop,42.36809925,26.240642,4690926.399,437475.347,1.4,15,12,3 - damaged,Last year?,POINT(437475.34704 4690926.399368)
1.00E+18,8344,12-Sep,Uncertain Mound,Scrub,Scrub,Hilltop,42.37273013,26.23643442,4691443.701,437133.5163,0,0,,0 - No observation,Unknown,POINT(437133.516301 4691443.701088)
1.00E+18,8128,12-Sep,Extinct Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.372766,26.058807,,,0,0,0,0 - No observation,,POINT(422520.016701 4691606.64706)
1.00E+18,9542,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.330023,26.131279,,,0,0,,0 - No observation,,POINT(428427.836777 4686782.790926)
1.00E+18,9543,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.339661,26.124631,,,0,0,,0 - No observation,Last month,POINT(427903.674096 4687864.178422)
1.00E+18,9544,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34725,26.114431,,,0,0,,0 - No observation,Last month,POINT(427065.492328 4688721.788659)
1.00E+18,9545,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34124,26.113514,,,0,0,,0 - No observation,Last month,POINT(426981.627973 4688050.54546)
1.00E+18,9546,12-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.340508,26.111041,,,0,0,,0 - No observation,Last month,POINT(426786.222236 4687962.267758)
1.00E+18,9547,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.41028791,26.09934432,4695724.516,425890.6262,3,25,20,3 - damaged,Last year,POINT(425890.6262 4695724.516417)
1.00E+18,9548,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.41061501,26.09987836,4695760.372,425934.9541,0,0,,0 - No observation,Unknown,POINT(425934.954059 4695760.371577)
