Suburb,suburb_id,flats,wc_access,bath,year,bath_communal_ct,wc_communal_ct,hot_water
Voldkvartererne,1,13500,13500,5910,1965,1170,2460,NA
Østerbro,2,32210,32190,17340,1965,920,4670,NA
Indre Nørrebro,3,28910,28880,7280,1965,2200,7480,NA
Ydre Nørrebro,3,22150,22130,8270,1965,1330,2970,NA
Vesterbro,4,24880,24870,4580,1965,540,4440,NA
Kongens Enghave,4,6850,6600,5360,1965,570,30,NA
Valby,5,15760,15670,11020,1965,1490,710,NA
Vigerslev,5,9470,9410,7490,1965,220,190,NA
Vanløse,6,10870,10860,8600,1965,270,330,NA
Husum,7,10640,10580,9210,1965,710,240,NA
Brønshøj,7,10800,10800,8760,1965,600,620,NA
"Utterslev, syd",7,10500,10500,6040,1965,90,260,NA
"Utterslev, nord",8,15250,15230,12170,1965,890,220,NA
Emdrup,8,5590,5570,5140,1965,170,190,NA
Amagerbro og Islands brygge,10,8590,8590,4590,1965,120,220,NA
Sundbyvester m. m.,10,11440,10580,7150,1965,460,1210,NA
"Sundbyvøster, nord",9,13740,13690,6610,1965,1040,800,NA
"Sundbyøster, syd",9,11390,11370,8960,1965,300,490,NA
Indre by,1,12544,8191,4238,1970,NA,NA,NA
Christianshavn,1,5090,3432,1817,1970,NA,NA,NA
Voldkvartererne,1,12806,10758,5331,1970,NA,NA,NA
Østerbro,2,32464,28139,17728,1970,NA,NA,NA
Indre Nørrebro,3,28040,21441,5425,1970,NA,NA,NA
Ydre Nørrebro,3,22733,20348,8531,1970,NA,NA,NA
Vesterbro,4,23599,19726,4534,1970,NA,NA,NA
Kongens Enghave,4,7014,6684,5091,1970,NA,NA,NA
Valby,5,15928,15139,10123,1970,NA,NA,NA
Vigerslev,5,10245,9806,7995,1970,NA,NA,NA
Vanløse,6,10818,10502,9091,1970,NA,NA,NA
Husum,7,12026,11689,9827,1970,NA,NA,NA
Brønshøj,7,10608,10134,8169,1970,NA,NA,NA
"Utterslev, syd",7,10946,10716,6914,1970,NA,NA,NA
"Utterslev, nord",8,15369,15072,11596,1970,NA,NA,NA
Emdrup,8,5540,5308,4870,1970,NA,NA,NA
Amagerbro og Islands brygge,10,8529,8402,4664,1970,NA,NA,NA
Sundbyvester m. m.,10,15717,13992,11466,1970,NA,NA,NA
"Sundbyvøster, nord",9,13701,12994,5690,1970,NA,NA,NA
"Sundbyøster, syd",9,11497,10961,8874,1970,NA,NA,NA
Indre by,1,10143,8122,5278,1981,NA,NA,NA
Christianshavn,1,4811,3887,2639,1981,NA,NA,NA
Voldkvartererne,1,11459,10537,6118,1981,NA,NA,NA
Østerbro,2,32448,29343,20255,1981,NA,NA,NA
Indre Nørrebro,3,21659,18985,6382,1981,NA,NA,NA
Ydre Nørrebro,3,23648,21686,10433,1981,NA,NA,NA
Vesterbro,4,21191,18757,5909,1981,NA,NA,NA
Kongens Enghave,4,6912,6870,5495,1981,NA,NA,NA
Valby,5,15666,15160,10735,1981,NA,NA,NA
Vigerslev,5,10073,9941,8640,1981,NA,NA,NA
Vanløse,6,10923,10775,9283,1981,NA,NA,NA
Husum,7,12532,12361,10863,1981,NA,NA,NA
Brønshøj,7,10475,10113,8435,1981,NA,NA,NA
"Utterslev, syd",7,11100,10935,7159,1981,NA,NA,NA
"Utterslev, nord",8,15392,15160,11585,1981,NA,NA,NA
Emdrup,8,5567,5527,5019,1981,NA,NA,NA
Amagerbro og Islands brygge,10,8507,8476,5139,1981,NA,NA,NA
Sundbyvester m. m.,10,14641,13747,11019,1981,NA,NA,NA
"Sundbyvøster, nord",9,13884,13010,6574,1981,NA,NA,NA
"Sundbyøster, syd",9,11303,10966,9000,1981,NA,NA,NA
